Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
"3,938",NWR-1999-1806,Hyachuck Pond Complex,Informal,Completed,"ESA-S7, Informal",,"Dec 3, 1999 12:00:00 AM",1999-12-03,2000-01-02,1999-12-08,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,939",NWR-1999-1807,Upper Finney Instream Restoration,Informal,Completed,"ESA-S7, Informal",,"Dec 3, 1999 12:00:00 AM",1999-12-03,2000-01-02,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Darrington, WA",,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,940",NWR-1999-1808,Zander Creek Gravel Pads,Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",1999-12-06,2000-01-05,1999-12-08,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,941",NWR-1999-1809,French Creek Instream Restoration,Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",1999-12-06,2000-01-05,1999-12-08,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,942",NWR-1999-181,LOUISIANA PACIFICE CORP. ROAD USE PERMIT #21-94,Informal,Completed,"ESA-S7, Informal",,"Oct 23, 1995 12:00:00 AM",,,1995-10-23,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Portland, OR",,,"HCD, OSHO - Eastern Oregon Habitat Branch",
"3,943",NWR-1999-1810,Little Park Creek/Zander Creek Smolt Traps,Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",1999-12-06,2000-01-05,1999-12-08,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,944",NWR-1999-1811,WDFW Gravel Addition,Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",1999-12-06,2000-01-05,1999-12-08,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,945",NWR-1999-1812,Dakota Creek Bridge at Stein Road,Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",1999-12-06,2000-01-05,2000-02-11,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Whatcom County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Ehinger, Stephanie"
"3,946",NWR-1999-1813,East Lake Sammammish Parkway,Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",1999-12-06,2000-01-05,2000-02-29,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,King County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Butkus, Steve"
"3,947",NWR-1999-1814,Y2/Y3 Highway Corridor - STPR-34Y2(001),Informal,Completed,"ESA-S7, Informal",,"Dec 6, 1999 12:00:00 AM",,,2000-02-29,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Withdrawn,,Withdrawn,,,,,,,,,Thurston County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Butkus, Steve"
"3,948",NWR-1999-1815,Smolt Traps Gold Basin,Informal,Completed,"ESA-S7, Informal",,"Feb 25, 1999 12:00:00 AM",1999-02-25,1999-03-27,1999-02-26,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,1711000837,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,949",NWR-1999-1816,Deception Creek Trail Repair (ERFO),Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,950",NWR-1999-1817,Boyd Creek Fish Interpretation Trail,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,951",NWR-1999-1818,Baker River and Blum Creek Bridge Installation,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,952",NWR-1999-1819,Trail Restoration - Youth on Age,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,953",NWR-1999-182,Lower Cougar Timber Sales,Informal,Completed,"ESA-S7, Informal",,"Oct 16, 1995 12:00:00 AM",1995-10-16,1995-11-15,1996-02-26,,,,,,"Salmon, Chinook",Snake River fall-run,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Boise, ID",,,"HCD, ISHO - North Idaho Habitat Branch","Troyer, Ken"
"3,954",NWR-1999-1820,Iron Goat Trail Facilities Construction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,955",NWR-1999-1821,Lake Serene Trail/Campsite Rehabilitation,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,956",NWR-1999-1822,Iron Goat Trail Construction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,957",NWR-1999-1823,Pilchuck Meadow,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,958",NWR-1999-1824,Trail Restoration - Poodle Dog Pass Trail,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,959",NWR-1999-1825,Evans Creek ORV Rock Fill,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,960",NWR-1999-1826,Rainier View Trail Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,961",NWR-1999-1827,Ice Caves Trail Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,962",NWR-1999-1828,Skookum Flats Trail Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,963",NWR-1999-1829,West Cady Ridge Trail Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,964",NWR-1999-183,LOWER SALMON RIVER WATERSHED RESTORATION,Informal,Completed,"ESA-S7, Informal",,"Sep 11, 1995 12:00:00 AM",,,1995-09-11,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Boise, ID",,,"HCD, ISHO - South Idaho Habitat Branch",
"3,965",NWR-1999-1830,Surprise Creek Trail Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,966",NWR-1999-1831,Trail Maintenance,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,967",NWR-1999-1832,Troublesome Creek Trail Reconstruction,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,968",NWR-1999-1834,SR 516 Junction Witte Road,Informal,Completed,"ESA-S7, Informal",,"Dec 11, 1999 12:00:00 AM",1999-12-11,2000-01-10,2000-02-09,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,King County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Tonnes, Dan"
"3,969",NWR-1999-1835,Trail Restoration Elliott Creek Trail,Informal,Completed,"ESA-S7, Informal",,"Dec 7, 1999 12:00:00 AM",1999-12-07,2000-01-06,1999-12-08,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,King County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,970",NWR-1999-1836,Rd 2079 Treatment and Bridge Removal,Informal,Completed,"ESA-S7, Informal",,"Dec 8, 1999 12:00:00 AM",1999-12-08,2000-01-07,1999-12-09,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,No Effect,,No Effect,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,971",NWR-1999-1839,Owl Creek Fish Passage Improvement,Informal,Completed,"ESA-S7, Informal",,"Dec 8, 1999 12:00:00 AM",,,2000-06-16,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Technical Assistance Provided,,Technical Assistance Provided,,,,,,,,,Snohomish County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,972",NWR-1999-184,LOWER SOUTH FORK SALMON RIVER POST-FIRE PROJECT,Informal,Completed,"ESA-S7, Informal",,"Oct 5, 1995 12:00:00 AM",,,1995-10-05,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,,,,NWR,"Boise, ID",,,"HCD, ISHO - South Idaho Habitat Branch",
"3,973",NWR-1999-1841,Firs Special Use Permit Reissue,Informal,Completed,"ESA-S7, Informal",,"Dec 8, 1999 12:00:00 AM",1999-12-08,2000-01-07,1999-12-09,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Whatcom County,,,NWR,"Seattle, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Donnelly, Robert"
"3,974",NWR-1999-1844,Heisson Bridge,Informal,Completed,"ESA-S7, Informal",,"Dec 8, 1999 12:00:00 AM",1999-12-08,2000-01-07,2000-07-10,,,,,,"Salmon, chum",Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Clark County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Butkus, Steve"
"3,975",NWR-1999-1844,Heisson Bridge,Informal,Completed,"ESA-S7, Informal",,"Dec 8, 1999 12:00:00 AM",1999-12-08,2000-01-07,2000-07-10,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Clark County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Butkus, Steve"
"3,976",NWR-1999-1844,Heisson Bridge,Informal,Completed,"ESA-S7, Informal",,"Dec 8, 1999 12:00:00 AM",1999-12-08,2000-01-07,2000-07-10,,,,,,Steelhead,Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Clark County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Butkus, Steve"
"3,977",NWR-1999-1846,Lummi Shore Road - Phase 1,Informal,Completed,"ESA-S7, Informal",,"Dec 10, 1999 12:00:00 AM",1999-12-10,2000-01-09,2000-04-03,,,,,,"Salmon, Chinook",Puget Sound,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Whatcom County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Northern Puget Sound Habitat Branch","Ehinger, Stephanie"
"3,978",NWR-1999-1847,SR 505 Winlock Railroad Crossing,Informal,Completed,"ESA-S7, Informal",,"Dec 13, 1999 12:00:00 AM",1999-12-13,2000-01-12,2000-02-23,,,,,,Steelhead,Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,King County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Guy, Dan"
"3,979",NWR-1999-1847,SR 505 Winlock Railroad Crossing,Informal,Completed,"ESA-S7, Informal",,"Dec 13, 1999 12:00:00 AM",1999-12-13,2000-01-12,2000-02-23,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,King County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Central Puget Sound Habitat Branch","Guy, Dan"
"3,980",NWR-1999-1848,Town of Eatonville Wastewater Facilities Improvements,Informal,Completed,"ESA-S7, Informal",,"Dec 10, 1999 12:00:00 AM",2000-03-09,2000-04-08,2000-06-19,,,,,,"Salmon, Chinook",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Pierce County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Hooper, Thom"
"3,981",NWR-1999-1848,Town of Eatonville Wastewater Facilities Improvements,Informal,Completed,"ESA-S7, Informal",,"Dec 10, 1999 12:00:00 AM",2000-03-09,2000-04-08,2000-06-19,,,,,,"Salmon, coho",Puget Sound/Strait of Georgia,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Pierce County,,,NWR,"Lacey, WA",,,"HCD, WSHO - Southwest Washington Habitat Branch","Hooper, Thom"
"3,982",NWR-1999-1849,"Port of Bandon Riverwalk Project, Coos County",Informal,Completed,"ESA-S7, Informal",,"Nov 18, 1999 12:00:00 AM",1999-11-18,1999-12-18,2000-01-04,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Coquille River (RM 0.9), near Bandon, Coos County, OR",,,NWR,"Roseburg, OR",,,"HCD, OSHO - Southwest Oregon Habitat Branch","Kenney, Dan"
"3,983",NWR-1999-1853,"Ongoing Programmatic Actions on the Mount Hood National Forest, Columbia River Gorge National Scenic Area, and Gifford Pinchot National Forest (LAA)",Formal Programmatic,Completed,"ESA-S7, Formal",,"Apr 20, 1998 12:00:00 AM",1998-08-03,1998-12-15,1999-06-03,,,,,,"Salmon, Chinook",Lower Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Gifford Pinchot National Forest, Mt. Hood National Forest, Columbia River Gorge National Scenic Area",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch",
"3,984",NWR-1999-1853,"Ongoing Programmatic Actions on the Mount Hood National Forest, Columbia River Gorge National Scenic Area, and Gifford Pinchot National Forest (LAA)",Formal Programmatic,Completed,"ESA-S7, Formal",,"Apr 20, 1998 12:00:00 AM",1998-08-03,1998-12-15,1999-06-03,,,,,,"Salmon, Chinook",Upper Willamette River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Gifford Pinchot National Forest, Mt. Hood National Forest, Columbia River Gorge National Scenic Area",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch",
"3,985",NWR-1999-1853,"Ongoing Programmatic Actions on the Mount Hood National Forest, Columbia River Gorge National Scenic Area, and Gifford Pinchot National Forest (LAA)",Formal Programmatic,Completed,"ESA-S7, Formal",,"Apr 20, 1998 12:00:00 AM",1998-08-03,1998-12-15,1999-06-03,,,,,,"Salmon, chum",Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Gifford Pinchot National Forest, Mt. Hood National Forest, Columbia River Gorge National Scenic Area",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch",
"3,986",NWR-1999-1853,"Ongoing Programmatic Actions on the Mount Hood National Forest, Columbia River Gorge National Scenic Area, and Gifford Pinchot National Forest (LAA)",Formal Programmatic,Completed,"ESA-S7, Formal",,"Apr 20, 1998 12:00:00 AM",1998-08-03,1998-12-15,1999-06-03,,,,,,"Salmon, coho",Lower Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Gifford Pinchot National Forest, Mt. Hood National Forest, Columbia River Gorge National Scenic Area",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch",
"3,987",NWR-1999-1853,"Ongoing Programmatic Actions on the Mount Hood National Forest, Columbia River Gorge National Scenic Area, and Gifford Pinchot National Forest (LAA)",Formal Programmatic,Completed,"ESA-S7, Formal",,"Apr 20, 1998 12:00:00 AM",1998-08-03,1998-12-15,1999-06-03,,,,,,Steelhead,Lower Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Gifford Pinchot National Forest, Mt. Hood National Forest, Columbia River Gorge National Scenic Area",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch",
"3,988",NWR-1999-1853,"Ongoing Programmatic Actions on the Mount Hood National Forest, Columbia River Gorge National Scenic Area, and Gifford Pinchot National Forest (LAA)",Formal Programmatic,Completed,"ESA-S7, Formal",,"Apr 20, 1998 12:00:00 AM",1998-08-03,1998-12-15,1999-06-03,,,,,,"Trout, cutthroat",Southwestern Washington/Columbia River,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Gifford Pinchot National Forest, Mt. Hood National Forest, Columbia River Gorge National Scenic Area",,,NWR,"Portland, OR",,,"HCD, OSHO - Oregon Coast/Lower Columbia Habitat Branch",
"3,989",NWR-1999-1854,"Upper Wolf, Link-n-Log, Bear Cub, Ten High, Douglas Creek, Point-a-Panther Timber Sales and the Lower Lake Creek Recreation Managemen Plan Timber Sale",Formal,Completed,"ESA-S7, Formal",,"Mar 22, 1999 12:00:00 AM",1999-03-22,1999-08-03,1999-07-23,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Wolf Creek, Lake Creek and Upper Siuslaw 5th Field Watersheds",,,NWR,"Portland, OR",,,"HCD, OSHO - Willamette Basin Habitat Branch","Yip, Garwin"
"3,990",NWR-1999-1855,Supplemental Biological Opinion & Incidental Take Statement; The Pacific Coast Salmon Plan & Amendment 13 to the Plan,Formal,Completed,"ESA-S7, Formal",,"Apr 5, 1999 12:00:00 AM",1999-04-05,1999-08-17,1999-04-28,,,,,,"Salmon, coho",Central California Coast,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,NWR,"Seattle, WA",,,SMD - Fishery Management Branc,"Diaz-Soltero, Hilda"
"3,991",NWR-1999-1855,Supplemental Biological Opinion & Incidental Take Statement; The Pacific Coast Salmon Plan & Amendment 13 to the Plan,Formal,Completed,"ESA-S7, Formal",,"Apr 5, 1999 12:00:00 AM",1999-04-05,1999-08-17,1999-04-28,,,,,,"Salmon, coho",Oregon Coast,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,NWR,"Seattle, WA",,,SMD - Fishery Management Branc,"Diaz-Soltero, Hilda"
