,NMFS.Tracking.Number,Common.Name,Population.Name,Species Determination,Critical Habitat Determination,NEW Jeopardy,NEW Critical Habitat,,,,
38191,NWR-2006-7234,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38192,NWR-2006-7234,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38193,NWR-2006-7234,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38203,NWR-2006-7372,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38253,NWR-2006-7486,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38258,NWR-2006-7518,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38259,NWR-2006-7518,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38260,NWR-2006-7518,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38261,NWR-2006-7518,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38262,NWR-2006-7518,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38263,NWR-2006-7518,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38265,NWR-2006-7518,"Whale, killer",Southern Resident,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38266,NWR-2006-7518,"Sturgeon, green",Southern DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38267,NWR-2006-7518,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38268,NWR-2006-7518,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38269,NWR-2006-7518,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38270,NWR-2006-7518,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38271,NWR-2006-7518,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38272,NWR-2006-7518,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38273,NWR-2006-7518,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38274,NWR-2006-7534,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38275,NWR-2006-7534,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38277,NWR-2006-754,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38278,NWR-2006-754,"Salmon, Chinook",Puget Sound ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38279,NWR-2006-754,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38280,NWR-2006-754,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38281,NWR-2006-754,"Salmon, Chinook",California Coastal ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38282,NWR-2006-754,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38283,NWR-2006-754,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38287,NWR-2006-758,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38335,NWR-2006-833,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38337,NWR-2006-833,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38338,NWR-2006-833,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38359,NWR-2006-928,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38458,NWR-2007-1093,"Salmon, Chinook",Puget Sound ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38459,NWR-2007-1093,Steelhead,Puget Sound DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38460,NWR-2007-1093,"Salmon, chum",Hood Canal summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38482,NWR-2007-1096,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38483,NWR-2007-1096,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38484,NWR-2007-1096,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38485,NWR-2007-1096,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38486,NWR-2007-1096,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38511,NWR-2007-1129,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38512,NWR-2007-1129,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38513,NWR-2007-1129,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38514,NWR-2007-1129,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38515,NWR-2007-1129,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38516,NWR-2007-1129,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38517,NWR-2007-1129,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38518,NWR-2007-1129,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38519,NWR-2007-1129,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38520,NWR-2007-1129,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38521,NWR-2007-1129,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38522,NWR-2007-1129,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38563,NWR-2007-1274,"Salmon, Chinook",Puget Sound ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38564,NWR-2007-1277,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38565,NWR-2007-1277,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38568,NWR-2007-1290,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38657,NWR-2007-1435,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38658,NWR-2007-1435,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38660,NWR-2007-1435,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38661,NWR-2007-1435,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38662,NWR-2007-1435,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38663,NWR-2007-1435,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38699,NWR-2007-1524,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38700,NWR-2007-1524,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38701,NWR-2007-1524,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38702,NWR-2007-1524,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38703,NWR-2007-1524,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38704,NWR-2007-1524,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38705,NWR-2007-1524,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38706,NWR-2007-1524,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38707,NWR-2007-1524,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38709,NWR-2007-1524,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38710,NWR-2007-1524,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38711,NWR-2007-1526,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38721,NWR-2007-157,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38722,NWR-2007-157,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38723,NWR-2007-157,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38724,NWR-2007-157,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38725,NWR-2007-157,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38726,NWR-2007-157,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38728,NWR-2007-157,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38729,NWR-2007-157,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38733,NWR-2007-158,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38734,NWR-2007-158,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38735,NWR-2007-158,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38736,NWR-2007-158,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38737,NWR-2007-158,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38798,NWR-2007-1664,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38799,NWR-2007-1664,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38800,NWR-2007-1664,Steelhead,Puget Sound DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38801,NWR-2007-1664,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38802,NWR-2007-1664,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38803,NWR-2007-1664,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38804,NWR-2007-1664,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38805,NWR-2007-1664,"Salmon, chum",Hood Canal summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38806,NWR-2007-1664,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38807,NWR-2007-1664,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38808,NWR-2007-1664,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38809,NWR-2007-1664,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38810,NWR-2007-1664,"Salmon, Chinook",Puget Sound ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38811,NWR-2007-1664,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38813,NWR-2007-1664,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38818,NWR-2007-1682,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38819,NWR-2007-1682,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38862,NWR-2007-1922,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38863,NWR-2007-1922,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38866,NWR-2007-1926,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38867,NWR-2007-1926,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38868,NWR-2007-1926,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38936,NWR-2007-2156,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38937,NWR-2007-2156,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38938,NWR-2007-2156,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38939,NWR-2007-2156,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38940,NWR-2007-2156,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38941,NWR-2007-2156,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38942,NWR-2007-2156,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38943,NWR-2007-2156,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38945,NWR-2007-2156,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38946,NWR-2007-2156,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38947,NWR-2007-2156,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38948,NWR-2007-2156,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38949,NWR-2007-2156,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38950,NWR-2007-2168,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38958,NWR-2007-2194,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38960,NWR-2007-2194,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38962,NWR-2007-2206,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38968,NWR-2007-2215,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38970,NWR-2007-2253,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38992,NWR-2007-2301,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38993,NWR-2007-2301,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38994,NWR-2007-2301,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38995,NWR-2007-2301,"Whale, humpback",Eastern North Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38997,NWR-2007-2301,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38998,NWR-2007-2301,"Salmon, Chinook",Puget Sound ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
38999,NWR-2007-2301,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39000,NWR-2007-2301,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39001,NWR-2007-2301,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39002,NWR-2007-2301,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39003,NWR-2007-2301,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39004,NWR-2007-2301,"Salmon, chum",Hood Canal summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39005,NWR-2007-2301,"Salmon, coho",Puget Sound/Strait of Georgia ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39006,NWR-2007-2301,"Salmon, sockeye",Ozette Lake ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39007,NWR-2007-2301,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39008,NWR-2007-2301,"Sea lion, Steller",Eastern US DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39009,NWR-2007-2301,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39010,NWR-2007-2304,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39011,NWR-2007-2304,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39064,NWR-2007-2388,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39065,NWR-2007-2388,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39066,NWR-2007-2388,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39067,NWR-2007-2388,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39069,NWR-2007-2388,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39070,NWR-2007-2388,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39071,NWR-2007-2388,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39111,NWR-2007-2505,"Whale, killer",Southern Resident,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39120,NWR-2007-2526,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39121,NWR-2007-2526,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39122,NWR-2007-2526,"Salmon, coho",Oregon Coast ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39124,NWR-2007-2530,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39138,NWR-2007-2571,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39139,NWR-2007-2571,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39140,NWR-2007-2571,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39150,NWR-2007-2646,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39151,NWR-2007-2646,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39152,NWR-2007-2647,Steelhead,Upper Willamette River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39154,NWR-2007-2647,"Salmon, Chinook",Upper Willamette River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39155,NWR-2007-2647,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39195,NWR-2007-2866,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39197,NWR-2007-2866,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39198,NWR-2007-2868,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39199,NWR-2007-2868,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39205,NWR-2007-2941,Steelhead,Snake River Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39206,NWR-2007-2941,"Salmon, Chinook",Snake River fall-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39207,NWR-2007-2941,"Salmon, Chinook",Snake River spring/summer-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39208,NWR-2007-2941,"Salmon, Chinook",Upper Columbia River spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39210,NWR-2007-2941,Steelhead,Upper Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39211,NWR-2007-2941,"Salmon, Chinook",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39212,NWR-2007-2941,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39213,NWR-2007-2941,Steelhead,Lower Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39214,NWR-2007-2941,"Salmon, sockeye",Snake River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39215,NWR-2007-2941,"Salmon, coho",Lower Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39216,NWR-2007-2941,"Salmon, chum",Columbia River ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
39245,NWR-2007-2989,Steelhead,Middle Columbia River DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
